t_ms,ibi_ms_ecg1,ibi_ms_ecg2
0,830.0,1070.4982
500,805.6553,891.9036
1000,782.5462,838.7348
1500,764.935,861.8435
2000,755.3096,912.0812
2500,741.3647,942.5569
3000,724.0253,927.5351
3500,738.5409,861.1927
4000,759.524,785.803
4500,752.4907,748.5202
5000,728.9757,752.8407
5500,725.5627,799.6993
6000,752.3914,887.1663
6500,764.0167,965.8617
7000,760.5793,993.0652
7500,777.5615,956.4399
8000,857.8323,893.6934
8500,933.0484,888.89
9000,941.5879,941.7187
9500,935.8875,975.7065
10000,938.425,971.336
10500,914.8768,939.1917
11000,874.2379,887.2837
11500,865.1205,827.1676
12000,865.6393,794.5453
12500,822.0517,798.5331
13000,764.4728,765.5469
13500,731.7964,722.1599
14000,721.8833,757.0587
14500,731.2624,805.8365
15000,755.1016,827.4214
15500,780.8159,841.5784
16000,814.6688,864.6725
16500,863.5112,885.9639
17000,912.429,856.7501
17500,948.035,800.398
18000,962.9762,788.2878
18500,967.5978,813.2468
19000,974.7679,842.1317
19500,974.0847,856.4085
20000,954.9438,842.4048
20500,935.4862,801.6265
21000,930.5989,799.3747
21500,917.9907,859.6849
22000,880.3733,894.7575
22500,832.2087,892.4865
23000,791.6791,890.3858
23500,772.8768,881.8755
24000,756.0371,850.8189
24500,717.7577,796.1818
25000,697.6563,746.1605
25500,703.1785,757.3703
26000,707.1463,787.904
26500,699.1903,777.7646
27000,710.9544,743.7113
27500,754.7498,699.8944
28000,788.3245,657.9826
28500,810.3341,639.8125
29000,824.7301,631.9285
29500,824.7173,617.7291
30000,811.2877,631.6226
30500,791.666,746.1039
31000,778.5933,854.3992
31500,770.4882,905.5126
32000,754.6036,922.4327
32500,732.4779,887.9787
33000,716.3715,807.7263
33500,721.6479,750.4688
34000,739.6996,747.9445
34500,760.8652,776.1797
35000,782.2303,797.0661
35500,801.3278,803.3858
36000,803.1069,824.385
36500,769.2686,825.8006
37000,723.947,780.5093
37500,701.5518,738.7193
38000,721.3001,702.826
38500,736.2027,645.9873
39000,731.9488,620.1266
39500,745.9176,596.0613
40000,758.0978,574.4283
40500,747.7164,611.9224
41000,718.6172,589.7674
41500,711.2432,615.7852
42000,722.4389,635.8218
42500,716.0636,648.8993
43000,706.4475,679.7987
43500,707.5123,640.2192
44000,716.98,623.3475
44500,718.4614,644.3739
45000,728.6929,667.6477
45500,752.7163,685.7486
46000,765.113,693.5799
46500,769.9475,670.0855
47000,773.7416,641.3598
47500,774.6872,658.9263
48000,773.2255,682.2281
48500,760.267,719.4422
49000,719.8113,762.4604
49500,701.1437,773.8106
50000,725.8549,774.6023
50500,731.0164,763.5741
51000,738.9927,725.989
51500,772.6719,704.0318
52000,814.2077,696.7821
52500,838.7741,674.3867
53000,838.3252,692.9758
53500,826.7683,711.4828
54000,815.2554,684.7515
54500,807.9721,676.1926
55000,794.2941,737.4537
55500,771.6297,856.9142
56000,747.3377,963.1024
56500,713.9076,966.1458
57000,677.2795,887.2622
57500,667.8521,865.0798
58000,672.0162,918.4833
58500,668.2942,953.9039
59000,652.7543,956.4613
59500,650.8711,945.995
60000,749.094,919.5479
60500,881.5342,869.8831
61000,900.5849,801.1336
61500,854.4088,728.6824
62000,800.887,686.182
62500,770.7995,667.2185
63000,756.2591,644.0066
63500,743.3042,635.1838
64000,763.3152,680.1861
64500,803.3786,780.8723
65000,825.968,885.5647
65500,843.1553,926.2735
66000,868.5249,917.2502
66500,904.6777,908.4097
67000,933.4914,876.3157
67500,937.1238,801.9925
68000,924.5606,763.4373
68500,907.7006,788.4038
69000,893.5275,797.5086
69500,885.5952,788.9075
70000,883.3919,786.5045
70500,885.3172,775.5418
71000,887.9721,757.4267
71500,879.4701,744.4711
72000,852.4619,729.4283
72500,830.065,717.8627
73000,826.0191,723.7081
73500,824.505,732.4605
74000,818.4052,719.6019
74500,805.9937,676.8294
75000,768.3859,641.3426
75500,719.4009,626.454
76000,722.7751,621.3041
76500,739.1363,615.9827
77000,726.0212,622.1113
77500,723.0755,632.3362
78000,741.5994,642.2309
78500,776.9734,676.6936
79000,816.8365,743.8617
79500,820.387,744.0096
80000,785.8123,726.7698
80500,771.7014,745.6108
81000,768.04,730.592
81500,745.0947,765.214
82000,726.2382,875.3486
82500,724.8968,907.398
83000,730.4931,873.3105
83500,710.2471,839.3498
84000,683.6044,811.5019
84500,672.2913,786.8686
85000,648.6699,766.5923
85500,645.5133,734.8932
86000,653.2117,680.9216
86500,643.8812,636.283
87000,661.1513,608.1845
87500,685.1442,593.7272
88000,743.754,602.2213
88500,831.6292,618.7699
89000,837.2984,628.2586
89500,814.9107,697.7956
90000,835.8364,787.0946
90500,864.8694,759.2176
91000,882.2354,712.5438
91500,892.2973,729.547
92000,891.2174,816.6718
92500,876.8798,900.7024
93000,862.2203,944.9188
93500,846.0651,950.8487
94000,802.0273,937.0371
94500,743.9881,915.366
95000,710.3072,859.774
95500,688.0397,772.1094
96000,669.5582,735.5883
96500,664.1492,771.729
97000,652.0557,823.6731
97500,637.696,868.9542
98000,634.1277,896.6898
98500,660.6133,897.5344
99000,769.9399,873.3347
99500,850.9811,837.8377
100000,851.5876,833.5617
100500,851.7562,882.1352
101000,863.4136,930.9683
101500,871.1361,938.9665
102000,870.7102,891.1894
102500,860.2096,811.7122
103000,838.8987,745.5738
103500,815.0448,721.0293
104000,801.1778,726.3604
104500,801.8984,696.2668
105000,811.8851,667.7435
105500,815.1238,687.686
106000,809.2301,750.6421
106500,799.4712,887.9034
107000,789.3322,1020.1176
107500,779.2707,1028.1554
108000,768.7037,980.3063
108500,767.1341,961.8488
109000,768.5359,949.1604
109500,745.1604,904.029
110000,730.1143,836.565
110500,748.1777,765.8564
111000,760.087,705.4175
111500,758.9464,662.6643
112000,758.2875,637.5782
112500,770.8248,627.0694
113000,766.7322,662.8024
113500,733.1889,774.0481
114000,722.0578,924.2328
114500,733.3132,993.8609
115000,742.904,959.8757
115500,745.1254,883.9744
116000,739.4808,801.0006
116500,735.0632,728.8703
117000,748.9051,702.0095
117500,763.4458,732.1739
118000,764.3811,771.0127
118500,762.6398,792.6762
119000,765.8077,797.2746
119500,774.2399,801.6823
120000,781.0823,797.9774
120500,787.8428,778.7658
121000,795.1209,769.499
121500,794.1655,780.3707
122000,789.9028,799.2727
122500,789.0527,795.557
123000,773.4685,758.985
123500,749.2346,707.6941
124000,744.9088,665.9365
124500,749.879,650.0086
125000,753.6413,664.9361
125500,758.683,724.7373
126000,754.0496,817.0715
126500,739.2983,896.7096
127000,729.4268,903.4332
127500,723.538,845.097
128000,714.3296,765.7726
128500,700.5481,719.5416
129000,707.4147,717.1195
129500,706.1775,695.5729
130000,661.262,652.1811
130500,647.2318,625.9458
131000,647.5024,643.2173
131500,637.4554,641.6391
132000,641.092,630.037
132500,646.1916,662.8613
133000,658.2236,752.7835
133500,669.484,834.8274
134000,674.9077,900.8769
134500,701.5593,944.9843
135000,733.4952,943.8696
135500,756.8302,922.0994
136000,773.833,924.6318
136500,791.2059,916.429
137000,797.5442,847.8498
137500,777.1968,781.6964
138000,742.9976,771.6019
138500,711.0402,752.3024
139000,691.6244,715.9028
139500,680.5863,707.7533
140000,669.9119,709.5932
140500,658.8265,781.1505
141000,660.4028,965.5245
141500,668.2811,1079.0606
142000,702.4144,1080.4104
142500,774.3744,1051.1383
143000,807.3951,1025.8364
143500,814.2367,999.8867
144000,827.7285,972.4957
144500,825.7106,948.3268
145000,807.1876,928.7555
145500,790.8785,910.8252
146000,785.9965,891.3011
146500,793.2584,866.2263
147000,804.5869,823.6358
147500,810.0703,754.2029
148000,804.3958,689.6563
148500,794.6817,657.9788
149000,784.597,650.701
149500,772.9157,640.0765
150000,757.8412,762.6724
150500,740.5037,1051.0242
151000,725.9962,1123.0644
151500,717.8107,1021.3149
152000,712.5467,959.3552
152500,703.2343,966.7616
153000,706.0174,966.2723
153500,716.5453,947.755
154000,717.7375,935.1217
154500,731.7393,902.0582
155000,751.5342,814.6349
155500,751.4165,740.6921
156000,719.8013,746.179
156500,686.3035,779.0311
157000,681.0137,779.7608
157500,691.7459,730.4237
158000,696.225,703.4484
158500,694.1725,715.3787
159000,698.2788,721.9749
159500,690.87,711.7602
160000,675.1963,727.4775
160500,667.9208,790.5178
161000,676.5145,825.545
161500,682.3476,830.2474
162000,689.2983,828.6083
162500,707.9673,814.1102
163000,723.7011,778.0862
163500,735.0494,719.7304
164000,744.0943,671.4522
164500,749.7606,654.1927
165000,747.9833,662.2565
165500,743.9902,724.4581
166000,744.3842,834.9534
166500,727.9216,945.6866
167000,705.3528,995.0265
167500,704.5809,988.5446
168000,696.3408,965.7637
168500,684.804,922.686
169000,690.414,844.1442
169500,704.3201,786.2145
170000,724.6317,812.3532
170500,749.2862,887.3038
171000,771.9834,959.3443
171500,787.052,992.3229
172000,789.0005,991.8474
172500,772.3376,984.6769
173000,732.5973,976.4526
173500,692.8503,960.7674
174000,689.7436,920.6804
174500,689.9401,843.4637
175000,677.2237,777.5649
175500,666.4856,774.3139
176000,672.4202,800.3078
176500,701.086,823.7185
177000,735.6064,839.0938
177500,741.4962,850.5895
178000,696.7384,850.5484
178500,666.6656,803.6744
179000,697.3075,728.6932
179500,694.5594,686.2981
180000,684.7366,671.1292
180500,687.6771,668.2871
181000,673.8003,671.3754
181500,652.3053,645.3236
182000,633.4751,620.4407
182500,628.6795,637.0092
183000,635.4729,665.0511
183500,610.5125,627.4363
184000,605.2051,637.8365
184500,614.3987,667.0837
185000,607.475,626.7367
185500,619.9994,610.4552
186000,669.6263,609.3989
186500,750.2469,611.4686
187000,829.8631,602.6794
187500,878.4231,581.0344
188000,891.0198,581.1626
188500,882.7857,594.5896
189000,875.0504,620.357
189500,866.1898,649.6606
190000,851.9162,685.5268
190500,839.4965,714.1668
191000,829.5107,686.081
191500,813.4042,673.7269
192000,794.6431,705.7831
192500,782.2367,746.0436
193000,780.8535,801.8062
193500,787.4793,861.2961
194000,795.0904,906.7457
194500,811.3194,934.8342
195000,831.6289,930.0283
195500,830.8005,871.1841
196000,819.4478,807.9186
196500,819.209,812.7839
197000,824.1308,844.07
197500,830.1745,861.9696
198000,840.2508,907.6781
198500,843.4197,954.3746
199000,830.18,927.1781
199500,812.713,850.5844
200000,798.5951,782.5812
200500,786.1062,737.9252
201000,776.2861,719.5624
201500,767.1389,737.4828
202000,748.3868,825.7061
202500,728.0275,955.2336
203000,720.3338,984.3994
203500,721.761,930.5856
204000,734.0759,897.0747
204500,748.591,894.0292
205000,733.0908,884.9569
205500,727.6517,835.7883
206000,760.5946,746.1105
